list,seen,name,alt,year,imdb,source
Movies to Watch Before You Die,FALSE,Three Brothers,Tre fratelli,1981,tt0083226,//ok.ru/videoembed/2980139698798
Movies to Watch Before You Die,FALSE,The Road,Yol,1982,tt0084934,//ok.ru/videoembed/2116477061798
Movies to Watch Before You Die,FALSE,A Question of Silence,,1982,tt0086369,
Movies to Watch Before You Die,FALSE,The Night of the Shooting Stars,La notte di San Lorenzo,1982,tt0084422,https://www.youtube.com/embed/Kjyg0wjk1Ug
Movies to Watch Before You Die,FALSE,The 4th Man,,1983,tt0086543,https://archive.org/embed/de.vierde.man.-the.-4th.-man.-1983.-verhoeven.x-264-cg
Movies to Watch Before You Die,FALSE,Sherman's March,,1985,tt0091943,//ok.ru/videoembed/628526811872
Movies to Watch Before You Die,FALSE,Peking Opera Blues,,1986,tt0090952,//ok.ru/videoembed/3102925327092
Movies to Watch Before You Die,FALSE,A Tale of the Wind,,1988,tt0096337,https://www.youtube.com/embed/kigDvQhk8l4
Movies to Watch Before You Die,FALSE,Ariel,,1988,tt0094675,//ok.ru/videoembed/1378584627781
Movies to Watch Before You Die,FALSE,Hôtel Terminus,,1988,tt0095341,https://www.youtube.com/embed/GpodeBqF36Q
Movies to Watch Before You Die,FALSE,The Asthenic Syndrome,,1989,tt0096841,https://www.youtube.com/embed/kPgDjbQlgic
Movies to Watch Before You Die,FALSE,Aileen Wuornos: Selling of a Serial Killer,,1992,tt0103634,https://www.youtube.com/embed/6CVxuoXrO8Q
Movies to Watch Before You Die,FALSE,The Puppetmaster,,1993,tt0107157,//ok.ru/videoembed/1688073407086
Movies to Watch Before You Die,FALSE,The Blue Kite,,1993,tt0107358,https://www.youtube.com/embed/GQsX8kTR0hE
Movies to Watch Before You Die,FALSE,Thirty Two Short Films About Glenn Gould,,1993,tt0108328,https://www.youtube.com/embed/xwLvz8AgmYE
Movies to Watch Before You Die,FALSE,Lamerica,,1994,tt0110299,//ok.ru/videoembed/2420430932678
Movies to Watch Before You Die,FALSE,Zero Kelvin,,1995,tt0113557,https://www.youtube.com/embed/5nOPomP2W24
Movies to Watch Before You Die,FALSE,The White Balloon,,1995,tt0112445,https://www.youtube.com/embed/8ynAA5UWreQ
Movies to Watch Before You Die,FALSE,Three Lives and Only One Death,,1996,tt0117968,https://www.youtube.com/embed/PRri30gVBIw
Movies to Watch Before You Die,FALSE,Mother and Son,,1997,tt0119711,//ok.ru/videoembed/2452443630278
Movies to Watch Before You Die,FALSE,Sombre,,1998,tt0166808,//ok.ru/videoembed/1236879411810
Movies to Watch Before You Die,FALSE,Attack the Gas Station,,1999,tt0262246,https://www.youtube.com/embed/txe4F7vMOwY
Movies to Watch Before You Die,FALSE,Taboo,,1999,tt0213682,//ok.ru/videoembed/2555573570118
Movies to Watch Before You Die,FALSE,The Captive,,2000,tt0216605,https://www.youtube.com/embed/NlIA22ITKQI
Movies to Watch Before You Die,FALSE,The Gleaners & I,,2000,tt0247380,https://archive.org/embed/varda-gleaners
Movies to Watch Before You Die,FALSE,Kippur,,2000,tt0218379,//ok.ru/videoembed/1258735077986
Movies to Watch Before You Die,FALSE,Signs & Wonders,,2000,tt0230783,
Movies to Watch Before You Die,FALSE,What Time Is It There?,,2001,tt0269746,//ok.ru/videoembed/1599233264238
Movies to Watch Before You Die,FALSE,Moolaadé,,2003,tt0416991,//ok.ru/videoembed/2525656386214
Movies to Watch Before You Die,FALSE,Live and Become,,2005,tt0388505,
Movies to Watch Before You Die,FALSE,Le Havre,,2011,tt1508675,//ok.ru/videoembed/8573700737607
