list,seen,title,alt,year,imdb,source
Movies to Watch Before You Die,FALSE,The Goddess of Spring,,1934,tt0025184,https://www.youtube.com/embed/JuVRi9XzNpk
Movies to Watch Before You Die,FALSE,Judge Priest,,1934,tt0025335,https://v2.vidsrc.me/embed/tt0025335
Movies to Watch Before You Die,FALSE,The Thin Man,,1934,tt0025878,https://v2.vidsrc.me/embed/tt0025878
Movies to Watch Before You Die,FALSE,The Black Cat,,1934,tt0024894,https://v2.vidsrc.me/embed/tt0024894
Movies to Watch Before You Die,FALSE,It's a Gift,,1934,tt0025318,https://v2.vidsrc.me/embed/tt0025318
Movies to Watch Before You Die,FALSE,It Happened One Night,,1934,tt0025316,https://v2.vidsrc.me/embed/tt0025316
Movies to Watch Before You Die,FALSE,L'Atalante,,1934,tt0024844,https://v2.vidsrc.me/embed/tt0024844
Movies to Watch Before You Die,FALSE,Peter Ibbetson,,1935,tt0026866,https://v2.vidsrc.me/embed/tt0026866
Movies to Watch Before You Die,FALSE,The 39 Steps,,1935,tt0026029,https://v2.vidsrc.me/embed/tt0026029
Movies to Watch Before You Die,FALSE,Mutiny on the Bounty,,1935,tt0026752,https://v2.vidsrc.me/embed/tt0026752
Movies to Watch Before You Die,FALSE,Triumph of the Will,Triumph des Willens,1935,tt0025913,https://v2.vidsrc.me/embed/tt0025913
Movies to Watch Before You Die,FALSE,Ye ban ge sheng,,1935,tt0206442,https://www.youtube.com/embed/oYALFe5ipvg
Movies to Watch Before You Die,FALSE,Bride of Frankenstein,,1935,tt0026138,https://v2.vidsrc.me/embed/tt0026138
Movies to Watch Before You Die,FALSE,Captain Blood,,1935,tt0026174,https://v2.vidsrc.me/embed/tt0026174
Movies to Watch Before You Die,FALSE,Top Hat,,1935,tt0027125,https://v2.vidsrc.me/embed/tt0027125
Movies to Watch Before You Die,FALSE,A Night at the Opera,,1935,tt0026778,https://v2.vidsrc.me/embed/tt0026778
Movies to Watch Before You Die,FALSE,Dodsworth,,1936,tt0027532,https://v2.vidsrc.me/embed/tt0027532
Movies to Watch Before You Die,FALSE,My Man Godfrey,,1936,tt0028010,https://v2.vidsrc.me/embed/tt0028010
Movies to Watch Before You Die,FALSE,Camille,,1936,tt0028683,https://v2.vidsrc.me/embed/tt0028683
Movies to Watch Before You Die,FALSE,The Story of a Cheat,Le Roman d'un Tricheur,1936,tt0028201,//ok.ru/videoembed/5365193706164
Movies to Watch Before You Die,FALSE,Things to Come,,1936,tt0028358,https://v2.vidsrc.me/embed/tt0028358
Movies to Watch Before You Die,FALSE,Mr. Deeds Goes to Town,,1936,tt0027996,https://v2.vidsrc.me/embed/tt0027996
Movies to Watch Before You Die,FALSE,Sabotage,,1936,tt0028212,https://v2.vidsrc.me/embed/tt0028212
Movies to Watch Before You Die,FALSE,Modern Times,,1936,tt0027977,https://v2.vidsrc.me/embed/tt0027977
Movies to Watch Before You Die,FALSE,Swing Time,,1936,tt0028333,https://v2.vidsrc.me/embed/tt0028333
Movies to Watch Before You Die,FALSE,Snow White and the Seven Dwarfs,,1937,tt0029583,https://v2.vidsrc.me/embed/tt0029583
Movies to Watch Before You Die,FALSE,Captains Courageous,,1937,tt0028691,https://v2.vidsrc.me/embed/tt0028691
Movies to Watch Before You Die,FALSE,The Awful Truth,,1937,tt0028597,https://v2.vidsrc.me/embed/tt0028597
Movies to Watch Before You Die,FALSE,The Life of Emile Zola,,1937,tt0029146,https://v2.vidsrc.me/embed/tt0029146
Movies to Watch Before You Die,FALSE,Pépé le Moko,,1937,tt0029453,https://v2.vidsrc.me/embed/tt0029453
Movies to Watch Before You Die,FALSE,The Grand Illusion,,1937,tt0028950,https://v2.vidsrc.me/embed/tt0028950
Movies to Watch Before You Die,FALSE,Make Way for Tomorrow,,1937,tt0029192,https://v2.vidsrc.me/embed/tt0029192
Movies to Watch Before You Die,FALSE,Stella Dallas,,1937,tt0029608,https://v2.vidsrc.me/embed/tt0029608
Movies to Watch Before You Die,FALSE,The Baker's Wife,La Femme du Boulanger,1938,tt0030127,https://v2.vidsrc.me/embed/tt0030127
Movies to Watch Before You Die,FALSE,Angels with Dirty Faces,,1938,tt0029870,https://v2.vidsrc.me/embed/tt0029870
Movies to Watch Before You Die,FALSE,Bringing Up Baby,,1938,tt0029947,https://v2.vidsrc.me/embed/tt0029947
Movies to Watch Before You Die,FALSE,The Lady Vanishes,,1938,tt0030341,https://v2.vidsrc.me/embed/tt0030341
Movies to Watch Before You Die,FALSE,Jezebel,,1938,tt0030287,https://v2.vidsrc.me/embed/tt0030287
Movies to Watch Before You Die,FALSE,Olympia Part One: Festival of the Nations,Olympia 1. Teil: Fest der Völker,1938,tt0030522,https://v2.vidsrc.me/embed/tt0030522
Movies to Watch Before You Die,FALSE,Olympia Part Two: Festival of Beauty,Olympia 2. Teil: Fest der Schönheit,1938,tt0030523,https://v2.vidsrc.me/embed/tt0030523
Movies to Watch Before You Die,FALSE,The Adventures of Robin Hood,,1938,tt0029843,https://v2.vidsrc.me/embed/tt0029843
Movies to Watch Before You Die,FALSE,Only Angels Have Wings,,1939,tt0031762,https://v2.vidsrc.me/embed/tt0031762
Movies to Watch Before You Die,FALSE,Wuthering Heights,,1939,tt0032145,https://v2.vidsrc.me/embed/tt0032145
Movies to Watch Before You Die,FALSE,Mr. Smith Goes to Washington,,1939,tt0031679,https://v2.vidsrc.me/embed/tt0031679
Movies to Watch Before You Die,FALSE,Stagecoach,,1939,tt0031971,https://v2.vidsrc.me/embed/tt0031971
Movies to Watch Before You Die,FALSE,Destry Rides Again,,1939,tt0031225,https://v2.vidsrc.me/embed/tt0031225
Movies to Watch Before You Die,FALSE,Gone with the Wind,,1939,tt0031381,https://v2.vidsrc.me/embed/tt0031381
Movies to Watch Before You Die,FALSE,Gunga Din,,1939,tt0031398,https://v2.vidsrc.me/embed/tt0031398
Movies to Watch Before You Die,FALSE,Ninotchka,,1939,tt0031725,https://v2.vidsrc.me/embed/tt0031725
Movies to Watch Before You Die,FALSE,The Wizard of Oz,,1939,tt0032138,https://v2.vidsrc.me/embed/tt0032138
Movies to Watch Before You Die,FALSE,Babes in Arms,,1939,tt0031066,https://v2.vidsrc.me/embed/tt0031066
Movies to Watch Before You Die,FALSE,The Story of the Last Chrysanthemum,,1939,tt0032156,https://v2.vidsrc.me/embed/tt0032156
Movies to Watch Before You Die,FALSE,The Rules of the Game,La Régle du Jeu,1939,tt0031885,https://v2.vidsrc.me/embed/tt0031885
Movies to Watch Before You Die,FALSE,The Mortal Storm,,1940,tt0032811,https://v2.vidsrc.me/embed/tt0032811
Movies to Watch Before You Die,FALSE,The Bank Dick,,1940,tt0032234,https://v2.vidsrc.me/embed/tt0032234
Movies to Watch Before You Die,FALSE,Pinocchio,,1940,tt0032910,https://v2.vidsrc.me/embed/tt0032910
Movies to Watch Before You Die,FALSE,"Dance, Girl, Dance",,1940,tt0032376,https://v2.vidsrc.me/embed/tt0032376
Movies to Watch Before You Die,FALSE,High Sierra,,1940,tt0033717,https://v2.vidsrc.me/embed/tt0033717
Movies to Watch Before You Die,FALSE,The Philadelphia Story,,1940,tt0032904,https://v2.vidsrc.me/embed/tt0032904
Movies to Watch Before You Die,FALSE,Rebecca,,1940,tt0032976,https://v2.vidsrc.me/embed/tt0032976
Movies to Watch Before You Die,FALSE,Fantasia,,1940,tt0032455,https://v2.vidsrc.me/embed/tt0032455
Movies to Watch Before You Die,FALSE,His Girl Friday,,1940,tt0032599,https://v2.vidsrc.me/embed/tt0032599
Movies to Watch Before You Die,FALSE,The Grapes of Wrath,,1940,tt0032551,https://v2.vidsrc.me/embed/tt0032551
Movies to Watch Before You Die,FALSE,Sullivan's Travels,,1941,tt0034240,https://v2.vidsrc.me/embed/tt0034240
Movies to Watch Before You Die,FALSE,The Maltese Falcon,,1941,tt0033870,https://v2.vidsrc.me/embed/tt0033870
Movies to Watch Before You Die,FALSE,Dumbo,,1941,tt0033563,https://v2.vidsrc.me/embed/tt0033563
Movies to Watch Before You Die,FALSE,Citizen Kane,,1941,tt0033467,https://v2.vidsrc.me/embed/tt0033467
Movies to Watch Before You Die,FALSE,Sergeant York,,1941,tt0034167,https://v2.vidsrc.me/embed/tt0034167
Movies to Watch Before You Die,FALSE,The Lady Eve,,1941,tt0033804,https://v2.vidsrc.me/embed/tt0033804
Movies to Watch Before You Die,FALSE,The Wolf Man,,1941,tt0034398,https://v2.vidsrc.me/embed/tt0034398
Movies to Watch Before You Die,FALSE,How Green Was My Valley,,1941,tt0033729,https://v2.vidsrc.me/embed/tt0033729
Movies to Watch Before You Die,FALSE,The Magnificent Ambersons,,1942,tt0035015,https://v2.vidsrc.me/embed/tt0035015
Movies to Watch Before You Die,TRUE,Casablanca,,1942,tt0034583,https://v2.vidsrc.me/embed/tt0034583
Movies to Watch Before You Die,FALSE,Cat People,,1942,tt0034587,https://v2.vidsrc.me/embed/tt0034587
Movies to Watch Before You Die,FALSE,The Ox-Bow Incident,,1942,tt0036244,https://v2.vidsrc.me/embed/tt0036244
Movies to Watch Before You Die,FALSE,Mrs. Miniver,,1942,tt0035093,https://v2.vidsrc.me/embed/tt0035093
Movies to Watch Before You Die,FALSE,The Palm Beach Story,,1942,tt0035169,https://v2.vidsrc.me/embed/tt0035169
Movies to Watch Before You Die,FALSE,"Now, Voyager",,1942,tt0035140,https://v2.vidsrc.me/embed/tt0035140
Movies to Watch Before You Die,FALSE,To Be or Not to Be,,1942,tt0035446,https://v2.vidsrc.me/embed/tt0035446
Movies to Watch Before You Die,FALSE,Yankee Doodle Dandy,,1942,tt0035575,https://v2.vidsrc.me/embed/tt0035575
Movies to Watch Before You Die,FALSE,Meshes of the Afternoon,,1943,tt0036154,https://v2.vidsrc.me/embed/tt0036154
Movies to Watch Before You Die,FALSE,Fires Were Started,,1943,tt0035881,https://v2.vidsrc.me/embed/tt0035881
Movies to Watch Before You Die,FALSE,The Life and Death of Colonel Blimp,,1943,tt0036112,https://v2.vidsrc.me/embed/tt0036112
Movies to Watch Before You Die,FALSE,The Seventh Victim,,1943,tt0036341,https://v2.vidsrc.me/embed/tt0036341
Movies to Watch Before You Die,FALSE,The Man in Grey,,1943,tt0036135,https://v2.vidsrc.me/embed/tt0036135
Movies to Watch Before You Die,FALSE,Shadow of a Doubt,,1943,tt0036342,https://v2.vidsrc.me/embed/tt0036342
Movies to Watch Before You Die,FALSE,I Walked with a Zombie,,1943,tt0036027,https://v2.vidsrc.me/embed/tt0036027
Movies to Watch Before You Die,FALSE,Obsession,,1943,tt0035160,//ok.ru/videoembed/1651365251694
Movies to Watch Before You Die,FALSE,Gaslight,,1944,tt0036855,https://v2.vidsrc.me/embed/tt0036855
Movies to Watch Before You Die,FALSE,Henry V,,1944,tt0036910,https://v2.vidsrc.me/embed/tt0036910
Movies to Watch Before You Die,FALSE,"Murder, My Sweet",Farewell My Lovely,1944,tt0037101,https://v2.vidsrc.me/embed/tt0037101
Movies to Watch Before You Die,FALSE,To Have and Have Not,,1944,tt0037382,https://v2.vidsrc.me/embed/tt0037382
Movies to Watch Before You Die,FALSE,Meet Me in St. Louis,,1944,tt0037059,https://v2.vidsrc.me/embed/tt0037059
Movies to Watch Before You Die,FALSE,Laura,,1944,tt0037008,https://v2.vidsrc.me/embed/tt0037008
Movies to Watch Before You Die,FALSE,"Ivan the Terrible, Part I",Ivan Groznyj,1944,tt0037824,https://v2.vidsrc.me/embed/tt0037824
Movies to Watch Before You Die,FALSE,Double Indemnity,,1944,tt0036775,https://v2.vidsrc.me/embed/tt0036775
Movies to Watch Before You Die,FALSE,The Lost Weekend,,1945,tt0037884,https://v2.vidsrc.me/embed/tt0037884
Movies to Watch Before You Die,FALSE,San Pietro,,1945,tt0036630,https://www.youtube.com/embed/7Y9BupfKtJ0
Movies to Watch Before You Die,FALSE,Children of Paradise,,1945,tt0037674,https://v2.vidsrc.me/embed/tt0037674
Movies to Watch Before You Die,FALSE,"Rome, Open City","Roma, Città Aperta",1945,tt0038890,https://v2.vidsrc.me/embed/tt0038890
Movies to Watch Before You Die,FALSE,Mildred Pierce,,1945,tt0037913,https://v2.vidsrc.me/embed/tt0037913
Movies to Watch Before You Die,FALSE,I Know Where I'm Going!,,1945,tt0037800,https://v2.vidsrc.me/embed/tt0037800
Movies to Watch Before You Die,FALSE,Brief Encounter,,1945,tt0037558,https://v2.vidsrc.me/embed/tt0037558
Movies to Watch Before You Die,FALSE,Spellbound,,1945,tt0038109,https://v2.vidsrc.me/embed/tt0038109
Movies to Watch Before You Die,FALSE,Detour,,1945,tt0037638,https://v2.vidsrc.me/embed/tt0037638
Movies to Watch Before You Die,FALSE,Notorious,,1946,tt0038787,https://v2.vidsrc.me/embed/tt0038787
Movies to Watch Before You Die,FALSE,The Stranger,,1946,tt0038991,https://v2.vidsrc.me/embed/tt0038991
Movies to Watch Before You Die,FALSE,Great Expectations,,1946,tt0038574,https://v2.vidsrc.me/embed/tt0038574
Movies to Watch Before You Die,FALSE,The Postman Always Rings Twice,,1946,tt0038854,https://v2.vidsrc.me/embed/tt0038854
Movies to Watch Before You Die,FALSE,The Killers,,1946,tt0038669,https://v2.vidsrc.me/embed/tt0038669
Movies to Watch Before You Die,FALSE,Paisan,,1946,tt0038823,https://www.youtube.com/embed/eehf9YKmJkE
Movies to Watch Before You Die,FALSE,Beauty and the Beast,La Belle et la Bête,1946,tt0038348,https://v2.vidsrc.me/embed/tt0038348
Movies to Watch Before You Die,FALSE,It's a Wonderful Life,,1946,tt0038650,https://v2.vidsrc.me/embed/tt0038650
Movies to Watch Before You Die,FALSE,The Big Sleep,,1946,tt0038355,https://v2.vidsrc.me/embed/tt0038355
Movies to Watch Before You Die,FALSE,Gilda,,1946,tt0038559,https://v2.vidsrc.me/embed/tt0038559
Movies to Watch Before You Die,FALSE,A Matter of Life and Death,,1946,tt0038733,https://v2.vidsrc.me/embed/tt0038733
Movies to Watch Before You Die,FALSE,My Darling Clementine,,1946,tt0038762,https://v2.vidsrc.me/embed/tt0038762
Movies to Watch Before You Die,FALSE,A Day in the Country,Une Partie de Campagne,1946,tt0028445,https://archive.org/embed/a_day_in_the_country_1936
Movies to Watch Before You Die,FALSE,The Best Years of Our Lives,,1946,tt0036868,https://v2.vidsrc.me/embed/tt0036868
Movies to Watch Before You Die,FALSE,The Lady from Shanghai,,1947,tt0040525,https://v2.vidsrc.me/embed/tt0040525
Movies to Watch Before You Die,FALSE,Secret Beyond the Door...,,1947,tt0040766,https://v2.vidsrc.me/embed/tt0040766
Movies to Watch Before You Die,FALSE,Monsieur Verdoux,,1947,tt0039631,https://v2.vidsrc.me/embed/tt0039631
Movies to Watch Before You Die,FALSE,The Ghost and Mrs. Muir,,1947,tt0039420,https://v2.vidsrc.me/embed/tt0039420
Movies to Watch Before You Die,FALSE,Odd Man Out,,1947,tt0039677,https://v2.vidsrc.me/embed/tt0039677
Movies to Watch Before You Die,FALSE,Black Narcissus,,1947,tt0039192,https://v2.vidsrc.me/embed/tt0039192
Movies to Watch Before You Die,FALSE,Out of the Past,,1947,tt0039689,https://v2.vidsrc.me/embed/tt0039689
Movies to Watch Before You Die,FALSE,Force of Evil,,1948,tt0040366,https://v2.vidsrc.me/embed/tt0040366
Movies to Watch Before You Die,FALSE,Spring in a Small Town,Xiao Cheng Zhi Chun,1948,tt0189219,https://www.youtube.com/embed/UL5zKdFuC9A
Movies to Watch Before You Die,FALSE,The Red Shoes,,1948,tt0040725,https://v2.vidsrc.me/embed/tt0040725
Movies to Watch Before You Die,FALSE,Letter from an Unknown Woman,,1948,tt0040536,https://v2.vidsrc.me/embed/tt0040536
Movies to Watch Before You Die,FALSE,Red River,,1948,tt0040724,https://v2.vidsrc.me/embed/tt0040724
Movies to Watch Before You Die,FALSE,The Paleface,,1948,tt0040679,https://v2.vidsrc.me/embed/tt0040679
Movies to Watch Before You Die,FALSE,The Snake Pit,,1948,tt0040806,https://v2.vidsrc.me/embed/tt0040806
Movies to Watch Before You Die,FALSE,Rope,,1948,tt0040746,https://v2.vidsrc.me/embed/tt0040746
Movies to Watch Before You Die,FALSE,The Treasure of the Sierra Madre,,1948,tt0040897,https://v2.vidsrc.me/embed/tt0040897
Movies to Watch Before You Die,FALSE,Louisiana Story,,1948,tt0040550,https://v2.vidsrc.me/embed/tt0040550
Movies to Watch Before You Die,FALSE,Bicycle Thieves,,1948,tt0040522,https://v2.vidsrc.me/embed/tt0040522
Movies to Watch Before You Die,FALSE,Adam's Rib,,1949,tt0041090,https://v2.vidsrc.me/embed/tt0041090
Movies to Watch Before You Die,FALSE,On the Town,,1949,tt0041716,https://v2.vidsrc.me/embed/tt0041716
Movies to Watch Before You Die,FALSE,Whisky Galore!,,1949,tt0042040,https://v2.vidsrc.me/embed/tt0042040
Movies to Watch Before You Die,FALSE,The Third Man,,1949,tt0041959,https://v2.vidsrc.me/embed/tt0041959
Movies to Watch Before You Die,FALSE,The Heiress,,1949,tt0041452,https://v2.vidsrc.me/embed/tt0041452
Movies to Watch Before You Die,FALSE,The Reckless Moment,,1949,tt0041786,https://v2.vidsrc.me/embed/tt0041786
Movies to Watch Before You Die,FALSE,White Heat,,1949,tt0042041,https://v2.vidsrc.me/embed/tt0042041
Movies to Watch Before You Die,FALSE,Kind Hearts and Coronets,,1949,tt0041546,https://v2.vidsrc.me/embed/tt0041546
Movies to Watch Before You Die,FALSE,Sunset Blvd.,,1950,tt0043014,https://v2.vidsrc.me/embed/tt0043014
Movies to Watch Before You Die,FALSE,In a Lonely Place,,1950,tt0042593,https://v2.vidsrc.me/embed/tt0042593
Movies to Watch Before You Die,FALSE,The Young and the Damned,Los Olvidados,1950,tt0042804,https://v2.vidsrc.me/embed/tt0042804
Movies to Watch Before You Die,FALSE,Gun Crazy,,1950,tt0042530,https://v2.vidsrc.me/embed/tt0042530
Movies to Watch Before You Die,FALSE,The Asphalt Jungle,,1950,tt0042208,https://v2.vidsrc.me/embed/tt0042208
Movies to Watch Before You Die,FALSE,Rashomon,,1950,tt0042876,https://v2.vidsrc.me/embed/tt0042876
